Sample_Group_VS_Control_Group	gene	log2FoldChange	pvalue	padj	mean_norm_counts	IS_Significant	Regulation_direction
challenge VS control	CLVS1	0.51	0.053594919	1.94E-01	5.03	NO	No_Regulation
challenge VS control	RPS6KA3	0.04	0.773518109	8.93E-01	90.3	NO	No_Regulation
challenge VS control	PUS1	0.51	0.050516401	1.87E-01	5.13	NO	No_Regulation
challenge VS control	CHD9	0.07	0.49331523	7.19E-01	170.93	NO	No_Regulation
challenge VS control	PDDC1	0.34	0.174259188	4.04E-01	5.52	NO	No_Regulation
challenge VS control	MAN1B1	-0.05	0.846897627	9.29E-01	6.06	NO	No_Regulation
challenge VS control	TOP3A	0.18	0.436840747	6.75E-01	7.63	NO	No_Regulation
challenge VS control	ZBTB38	0.46	3.20E-05	7.84E-04	118.14	NO	No_Regulation
challenge VS control	TIMM22	0.12	0.629440559	8.13E-01	4.63	NO	No_Regulation
challenge VS control	MAGEF1	0.28	0.290945171	5.40E-01	4.73	NO	No_Regulation
challenge VS control	SAMD9L	0.69	4.52E-04	6.30E-03	32.39	NO	No_Regulation
challenge VS control	ZFAS1	0.34	0.085214364	2.64E-01	15.45	NO	No_Regulation
challenge VS control	PAWR	0.02	0.876113824	9.45E-01	60.26	NO	No_Regulation
challenge VS control	TGIF1	0.19	0.420496946	6.60E-01	8.33	NO	No_Regulation
challenge VS control	NR2C2	-0.21	0.085834545	2.65E-01	58.16	NO	No_Regulation
challenge VS control	PTRF	0.37	0.097027823	2.85E-01	15.02	NO	No_Regulation
challenge VS control	ARIH2	0.17	0.205069169	4.43E-01	36.72	NO	No_Regulation
challenge VS control	RABEP2	0.12	0.574927747	7.79E-01	14.94	NO	No_Regulation
challenge VS control	ATOX1	0.16	0.432425931	6.70E-01	15.45	NO	No_Regulation
challenge VS control	TBL1XR1	0.04	0.669252364	8.36E-01	128.2	NO	No_Regulation
challenge VS control	SAMD12	0.34	0.001327586	1.44E-02	173.47	NO	No_Regulation
challenge VS control	C18orf32	-0.15	0.489573433	7.16E-01	16.54	NO	No_Regulation
challenge VS control	RPLP2	0.16	0.229704103	4.74E-01	163.73	NO	No_Regulation
challenge VS control	JUN	-0.6	0.003142606	2.71E-02	23.98	NO	No_Regulation
challenge VS control	CSTF2T	-0.07	0.776011419	8.94E-01	4.64	NO	No_Regulation
challenge VS control	ACAD9	0.01	0.96302907	9.84E-01	10.06	NO	No_Regulation
challenge VS control	IL17RA	-0.46	0.019349088	9.66E-02	13.48	NO	No_Regulation
challenge VS control	PNPLA2	-0.9	7.29E-05	1.51E-03	8.24	NO	No_Regulation
challenge VS control	CD163L1	0.45	0.046533595	1.76E-01	25.61	NO	No_Regulation
challenge VS control	EFCAB4A	-0.31	0.211205186	4.51E-01	6.96	NO	No_Regulation
challenge VS control	NAALADL2	0.51	2.34E-06	1.06E-04	382.38	NO	No_Regulation
challenge VS control	CD151	-0.49	0.007321562	4.92E-02	28.55	NO	No_Regulation
challenge VS control	POLR2L	0.38	0.085529964	2.65E-01	11.77	NO	No_Regulation
challenge VS control	FAM20C	-0.34	0.124575143	3.32E-01	10.76	NO	No_Regulation
challenge VS control	NECTIN3	0.12	0.280612746	5.29E-01	134.74	NO	No_Regulation
challenge VS control	KIAA0195	-0.13	0.561522555	7.70E-01	7.81	NO	No_Regulation
challenge VS control	FLII	-0.14	0.485395502	7.14E-01	14.14	NO	No_Regulation
challenge VS control	HNRNPA0	0.34	0.054540603	1.97E-01	21.88	NO	No_Regulation
challenge VS control	CTD-2201E18.3	0.4	0.082395503	2.59E-01	9.21	NO	No_Regulation
challenge VS control	CHID1	0.08	0.737518848	8.75E-01	7.14	NO	No_Regulation
challenge VS control	ZNF518A	-0.03	0.770144818	8.91E-01	89.76	NO	No_Regulation
challenge VS control	AP3S1	-0.53	4.03E-05	9.46E-04	41.96	NO	No_Regulation
challenge VS control	GRB2	0.03	0.831392086	9.22E-01	67.92	NO	No_Regulation
challenge VS control	ZBTB41	0.46	0.040159199	1.60E-01	10.16	NO	No_Regulation
challenge VS control	UBE2N	0.26	0.140087945	3.57E-01	19.19	NO	No_Regulation
challenge VS control	ARL6IP6	-0.14	0.447948953	6.85E-01	31.46	NO	No_Regulation
challenge VS control	MAMDC4	0.04	0.84104552	9.26E-01	20.31	NO	No_Regulation
challenge VS control	BET1L	-0.3	0.208951249	4.48E-01	7.17	NO	No_Regulation
challenge VS control	RPS27	0.06	0.717950062	8.64E-01	115.86	NO	No_Regulation
challenge VS control	RIC8A	-0.35	0.149341383	3.68E-01	6.16	NO	No_Regulation
challenge VS control	IMP3	0.14	0.541456764	7.54E-01	11.17	NO	No_Regulation
challenge VS control	ASB8	-0.15	0.465397506	6.97E-01	11.49	NO	No_Regulation
challenge VS control	DMAP1	-0.3	0.241064341	4.88E-01	4.69	NO	No_Regulation
challenge VS control	ADAMTSL1	0.25	0.296772912	5.46E-01	21.73	NO	No_Regulation
challenge VS control	IMPDH2	0.55	0.003834868	3.13E-02	18.64	NO	No_Regulation
challenge VS control	ALS2CL	-1.01	7.88E-05	1.60E-03	5.3	YES	Down-Regulated in Sample Group
challenge VS control	NDUFAF3	0	0.990208196	9.95E-01	6.05	NO	No_Regulation
challenge VS control	C2orf69	-0.3	0.143471508	3.61E-01	18.19	NO	No_Regulation
challenge VS control	GRAMD1C	-0.49	0.022143275	1.07E-01	21.43	NO	No_Regulation
challenge VS control	STAP2	-0.11	0.586737984	7.86E-01	17.89	NO	No_Regulation
challenge VS control	PDE4DIP	0.2	0.356765996	6.05E-01	16.17	NO	No_Regulation
challenge VS control	DDX10	0.46	0.004615973	3.57E-02	34.86	NO	No_Regulation
challenge VS control	PPP1R42	0.03	0.883460599	9.48E-01	17.66	NO	No_Regulation
challenge VS control	DALRD3	-0.12	0.628738702	8.13E-01	4.84	NO	No_Regulation
challenge VS control	ZNF518B	0.47	0.059558762	2.08E-01	5.5	NO	No_Regulation
challenge VS control	ZNF366	0.08	0.755302994	8.83E-01	6.07	NO	No_Regulation
challenge VS control	LCORL	-0.08	0.420327937	6.60E-01	188.12	NO	No_Regulation
challenge VS control	SH2B1	0.1	0.643571397	8.21E-01	14.64	NO	No_Regulation
challenge VS control	KDELC2	0.66	0.007266395	4.89E-02	5.19	NO	No_Regulation
challenge VS control	PLEC	-0.29	0.178243733	4.09E-01	16.9	NO	No_Regulation
challenge VS control	GALNT11	-0.17	0.362799336	6.11E-01	23.98	NO	No_Regulation
challenge VS control	WDR6	0.28	0.125085533	3.33E-01	18.69	NO	No_Regulation
challenge VS control	GEN1	0.75	5.85E-05	1.25E-03	21.15	NO	No_Regulation
challenge VS control	AQP11	-0.61	0.002120231	2.01E-02	22.3	NO	No_Regulation
challenge VS control	TMEM11	0.4	0.121329588	3.27E-01	6.62	NO	No_Regulation
challenge VS control	ZNF354B	0.04	0.874429401	9.44E-01	5.73	NO	No_Regulation
challenge VS control	PLEKHM3	-0.29	0.068425309	2.28E-01	22.64	NO	No_Regulation
challenge VS control	DNAJC22	-0.72	1.76E-05	4.96E-04	42.59	NO	No_Regulation
challenge VS control	NT5DC1	-0.15	0.204748082	4.43E-01	82	NO	No_Regulation
challenge VS control	RP11-324H6.6	-0.09	0.716423152	8.63E-01	7.66	NO	No_Regulation
challenge VS control	TUBAL3	-0.59	0.015374258	8.28E-02	9.27	NO	No_Regulation
challenge VS control	CTD-2192J16.15	0.3	0.243127564	4.91E-01	5.19	NO	No_Regulation
challenge VS control	P4HTM	-0.03	0.917012141	9.64E-01	4.66	NO	No_Regulation
challenge VS control	SLC25A20	-0.2	0.213642477	4.54E-01	29.66	NO	No_Regulation
challenge VS control	CA8	0.66	0.003564936	2.98E-02	14.39	NO	No_Regulation
challenge VS control	EPM2AIP1	0.19	0.349759629	5.99E-01	14.41	NO	No_Regulation
challenge VS control	ERBB4	0.05	0.861825524	9.37E-01	8.35	NO	No_Regulation
challenge VS control	MAF	-1.08	6.78E-10	1.37E-07	190.78	YES	Down-Regulated in Sample Group
challenge VS control	CTNNBIP1	-0.1	0.639879688	8.19E-01	12.69	NO	No_Regulation
challenge VS control	ERN1	0.03	0.884464307	9.48E-01	29.84	NO	No_Regulation
challenge VS control	GPR35	-0.39	0.065824902	2.23E-01	12.94	NO	No_Regulation
challenge VS control	CSRNP3	-0.15	0.473278515	7.03E-01	26.1	NO	No_Regulation
challenge VS control	ZNF713	0.23	0.388090332	6.33E-01	5.1	NO	No_Regulation
challenge VS control	SUZ12	0.27	0.0447351	1.71E-01	52.78	NO	No_Regulation
challenge VS control	NSUN3	-0.27	0.09604208	2.84E-01	30.2	NO	No_Regulation
challenge VS control	KCTD12	0.36	0.096756127	2.85E-01	14.21	NO	No_Regulation
challenge VS control	DHFRL1	0.42	0.116638014	3.19E-01	4.84	NO	No_Regulation
challenge VS control	GRINA	0.05	0.8289899	9.21E-01	6.73	NO	No_Regulation
challenge VS control	COX5A	0.1	0.536407339	7.51E-01	47.26	NO	No_Regulation
challenge VS control	STX19	-0.2	0.406869699	6.49E-01	7.02	NO	No_Regulation
challenge VS control	FAM219B	-0.1	0.712401739	8.60E-01	4.45	NO	No_Regulation
challenge VS control	ZHX2	0.22	0.135772829	3.50E-01	52.53	NO	No_Regulation
challenge VS control	MPI	0.36	0.140164013	3.57E-01	6.19	NO	No_Regulation
challenge VS control	ADORA2A-AS1	-2.35	5.91E-19	6.79E-15	12.35	YES	Down-Regulated in Sample Group
challenge VS control	TMEM139	-0.61	0.010089463	6.14E-02	9.19	NO	No_Regulation
challenge VS control	RNF186	-0.58	0.008371776	5.40E-02	13.85	NO	No_Regulation
challenge VS control	EFCAB13	-0.13	0.456023948	6.91E-01	30.69	NO	No_Regulation
challenge VS control	APOLD1	0.89	3.18E-05	7.80E-04	29.63	NO	No_Regulation
challenge VS control	FAM101A	-0.37	0.111073121	3.09E-01	6.91	NO	No_Regulation
challenge VS control	DPY19L3	0.26	0.207642321	4.47E-01	17.43	NO	No_Regulation
challenge VS control	TAF7	0.03	0.878808812	9.46E-01	27.68	NO	No_Regulation
challenge VS control	HYI	-0.65	0.002119803	2.01E-02	11.04	NO	No_Regulation
challenge VS control	C17orf62	-0.2	0.397958648	6.42E-01	6.14	NO	No_Regulation
challenge VS control	ZNF552	-0.42	0.077548784	2.48E-01	9.24	NO	No_Regulation
challenge VS control	GAK	-0.11	0.411819227	6.53E-01	55.48	NO	No_Regulation
challenge VS control	ZBTB7A	0.03	0.847803193	9.29E-01	77.23	NO	No_Regulation
challenge VS control	TUFM	0.07	0.671995396	8.37E-01	30.01	NO	No_Regulation
challenge VS control	RMI1	-0.14	0.5297329	7.46E-01	16.31	NO	No_Regulation
challenge VS control	CTC1	0.05	0.857467734	9.34E-01	5.68	NO	No_Regulation
challenge VS control	FBXO34	-0.03	0.79919414	9.06E-01	47.34	NO	No_Regulation
challenge VS control	SEPW1	-0.11	0.493519166	7.19E-01	24.22	NO	No_Regulation
challenge VS control	EIF3K	0.05	0.754938485	8.83E-01	36.08	NO	No_Regulation
challenge VS control	MRFAP1L1	0.28	0.251315889	5.00E-01	7.38	NO	No_Regulation
challenge VS control	SNX18	-0.02	0.939170064	9.73E-01	12.73	NO	No_Regulation
challenge VS control	MRFAP1	-0.03	0.85104755	9.31E-01	27.25	NO	No_Regulation
challenge VS control	C3orf38	-0.1	0.583079053	7.83E-01	19.34	NO	No_Regulation
challenge VS control	RCC2	0.46	0.02141483	1.04E-01	13.05	NO	No_Regulation
challenge VS control	DPM3	-0.06	0.810525102	9.12E-01	9.63	NO	No_Regulation
challenge VS control	CYC1	0.16	0.380254118	6.26E-01	38.46	NO	No_Regulation
challenge VS control	PER1	-0.4	0.138966018	3.55E-01	7.39	NO	No_Regulation
challenge VS control	TMTC2	0.41	0.011076536	6.55E-02	84.55	NO	No_Regulation
challenge VS control	FARSA	0.22	0.3455271	5.94E-01	8.26	NO	No_Regulation
challenge VS control	SPTY2D1	-0.12	0.525574991	7.43E-01	15.18	NO	No_Regulation
challenge VS control	SAMD4B	-0.08	0.665961495	8.34E-01	26.83	NO	No_Regulation
challenge VS control	GIMAP7	0.08	0.748199098	8.80E-01	11.37	NO	No_Regulation
challenge VS control	EDC3	-0.23	0.295182725	5.45E-01	9.93	NO	No_Regulation
challenge VS control	TCAIM	0	0.997804168	9.99E-01	41.08	NO	No_Regulation
challenge VS control	FUCA1	-0.02	0.940869887	9.73E-01	21.42	NO	No_Regulation
challenge VS control	TMEM125	0.02	0.929563047	9.69E-01	5.39	NO	No_Regulation
challenge VS control	CALR	0.36	0.179559587	4.10E-01	343.93	NO	No_Regulation
challenge VS control	MAGED1	0.14	0.245677201	4.93E-01	62.37	NO	No_Regulation
challenge VS control	LDLRAD3	0.42	0.050647452	1.87E-01	20.7	NO	No_Regulation
challenge VS control	RAD23A	0.15	0.371868993	6.20E-01	27.66	NO	No_Regulation
challenge VS control	GADD45GIP1	0.51	0.013083527	7.38E-02	17.54	NO	No_Regulation
challenge VS control	PTPN11	0	0.990645155	9.95E-01	35.37	NO	No_Regulation
challenge VS control	NSUN7	-0.09	0.694545703	8.50E-01	12.01	NO	No_Regulation
challenge VS control	CLK3	-0.12	0.592984525	7.89E-01	8.57	NO	No_Regulation
challenge VS control	HLA-DQB1	-0.43	0.106256722	3.02E-01	27.22	NO	No_Regulation
challenge VS control	ARID3B	-0.12	0.558008722	7.67E-01	13.57	NO	No_Regulation
challenge VS control	RP11-96O20.1	-0.42	0.100206182	2.91E-01	5.93	NO	No_Regulation
challenge VS control	PACS2	-0.23	0.291183912	5.40E-01	11.22	NO	No_Regulation
challenge VS control	ELMOD2	-0.03	0.869510421	9.41E-01	16.06	NO	No_Regulation
challenge VS control	C1orf101	0.29	0.261245119	5.09E-01	6.66	NO	No_Regulation
challenge VS control	GS1-124K5.14	0.1	0.668481018	8.36E-01	11.27	NO	No_Regulation
challenge VS control	KLHL28	-0.15	0.388389604	6.33E-01	25.11	NO	No_Regulation
challenge VS control	ZBTB18	0.58	0.007368659	4.95E-02	12.87	NO	No_Regulation
challenge VS control	RP11-151N17.2	0.1	0.673254283	8.38E-01	9.16	NO	No_Regulation
challenge VS control	SHARPIN	-0.29	0.191045364	4.25E-01	8.18	NO	No_Regulation
challenge VS control	DNHD1	-0.19	0.364221297	6.12E-01	14.18	NO	No_Regulation
challenge VS control	CIITA	0.73	1.87E-04	3.12E-03	24.05	NO	No_Regulation
challenge VS control	ZFPM1	-0.09	0.628280159	8.13E-01	15.57	NO	No_Regulation
challenge VS control	CDC42EP4	-0.29	0.134781791	3.48E-01	16.06	NO	No_Regulation
challenge VS control	MAF1	0.27	0.245675891	4.93E-01	10.3	NO	No_Regulation
challenge VS control	ARL14	-0.93	1.49E-04	2.63E-03	12.46	NO	No_Regulation
challenge VS control	PCED1B	0.48	0.008098574	5.28E-02	27.89	NO	No_Regulation
challenge VS control	PIPOX	0.25	0.332392136	5.81E-01	7.1	NO	No_Regulation
challenge VS control	AC136007.2	0.1	0.605957972	7.97E-01	18.29	NO	No_Regulation
challenge VS control	MYADM	0.49	0.028721758	1.27E-01	13.15	NO	No_Regulation
challenge VS control	MROH1	-0.4	0.031023784	1.34E-01	15.56	NO	No_Regulation
challenge VS control	SERTAD2	-0.2	0.265076292	5.13E-01	21.25	NO	No_Regulation
challenge VS control	PDXDC1	-0.29	0.017968207	9.15E-02	100.08	NO	No_Regulation
challenge VS control	R3HDM2	0.06	0.669462446	8.36E-01	69.57	NO	No_Regulation
challenge VS control	B3GNT3	-0.14	0.537118538	7.51E-01	10.5	NO	No_Regulation
challenge VS control	ITLN1	0.42	0.096949827	2.85E-01	38.47	NO	No_Regulation
challenge VS control	NRXN1	0.64	7.28E-04	9.01E-03	46.27	NO	No_Regulation
challenge VS control	SEPHS2	-0.53	5.29E-04	7.09E-03	61.8	NO	No_Regulation
challenge VS control	C14orf119	-0.12	0.569685164	7.75E-01	9.25	NO	No_Regulation
challenge VS control	PUF60	0.18	0.388535911	6.33E-01	10.18	NO	No_Regulation
challenge VS control	DCTPP1	0.3	0.227162364	4.71E-01	6.92	NO	No_Regulation
challenge VS control	TSHZ1	-1.06	2.54E-11	1.12E-08	44.66	YES	Down-Regulated in Sample Group
challenge VS control	SOCS4	0.14	0.515148725	7.35E-01	10.96	NO	No_Regulation
challenge VS control	ZADH2	-0.34	0.055441155	1.98E-01	20.93	NO	No_Regulation
challenge VS control	ANKRD18A	0.39	0.102060615	2.94E-01	9.22	NO	No_Regulation
challenge VS control	TRNAU1AP	-0.07	0.741666816	8.77E-01	9.71	NO	No_Regulation
challenge VS control	EXOC3	-0.12	0.542539318	7.55E-01	13.26	NO	No_Regulation
challenge VS control	C12orf40	-0.03	0.897974516	9.55E-01	5.27	NO	No_Regulation
challenge VS control	MED14	-0.25	0.134902485	3.48E-01	56.69	NO	No_Regulation
challenge VS control	FAHD1	-0.62	9.21E-05	1.81E-03	24.03	NO	No_Regulation
challenge VS control	RCC1	0.66	0.003745292	3.09E-02	9.08	NO	No_Regulation
challenge VS control	RP1-278E11.3	0.15	0.420034331	6.60E-01	28.94	NO	No_Regulation
challenge VS control	PRKRA	0.26	0.167117316	3.94E-01	19.6	NO	No_Regulation
challenge VS control	HERC2P3	-0.53	0.05180886	1.89E-01	17.04	NO	No_Regulation
challenge VS control	ZNRF2	-0.03	0.853341439	9.33E-01	23.73	NO	No_Regulation
challenge VS control	FGD6	0.28	0.2428558	4.90E-01	9.34	NO	No_Regulation
challenge VS control	OAZ2	-0.2	0.390243535	6.35E-01	6.19	NO	No_Regulation
challenge VS control	CCDC43	0.54	0.011402143	6.68E-02	12.56	NO	No_Regulation
challenge VS control	CCDC129	-0.02	0.924265943	9.68E-01	7.55	NO	No_Regulation
challenge VS control	HCLS1	0.73	9.88E-04	1.15E-02	12.23	NO	No_Regulation
challenge VS control	ZNF609	-0.09	0.532080276	7.47E-01	74.57	NO	No_Regulation
challenge VS control	PAK2	0.06	0.631068135	8.14E-01	67.44	NO	No_Regulation
challenge VS control	CCDC66	0.38	0.016812355	8.78E-02	30.36	NO	No_Regulation
challenge VS control	AC034193.5	0.28	0.291633914	5.41E-01	4.79	NO	No_Regulation
challenge VS control	ATP5EP2	0.03	0.906717059	9.59E-01	4.39	NO	No_Regulation
challenge VS control	MCFD2	0.03	0.856361206	9.33E-01	28.51	NO	No_Regulation
challenge VS control	HMHA1	0.19	0.453242237	6.89E-01	6.41	NO	No_Regulation
challenge VS control	ZNF571	0.2	0.454712726	6.90E-01	4.73	NO	No_Regulation
challenge VS control	MIGA1	-0.08	0.671555766	8.37E-01	21.34	NO	No_Regulation
challenge VS control	PRR26	0.33	0.155597206	3.78E-01	7.94	NO	No_Regulation
challenge VS control	NRIP1	-0.06	0.658174234	8.29E-01	63.3	NO	No_Regulation
challenge VS control	HIST1H2AC	-0.88	3.97E-06	1.61E-04	22.25	NO	No_Regulation
challenge VS control	MB21D2	-0.31	0.05723904	2.03E-01	51.06	NO	No_Regulation
challenge VS control	PCGF5	-0.22	0.093599812	2.79E-01	83.88	NO	No_Regulation
challenge VS control	YOD1	-0.48	0.063719894	2.19E-01	4.88	NO	No_Regulation
challenge VS control	TMEM64	-0.16	0.478333169	7.07E-01	8.14	NO	No_Regulation
challenge VS control	CLRN3	-0.33	0.071450202	2.35E-01	25.98	NO	No_Regulation
challenge VS control	CTD-2547E10.2	0.15	0.537274709	7.51E-01	8.19	NO	No_Regulation
challenge VS control	SLC36A4	0.21	0.366412058	6.14E-01	12.94	NO	No_Regulation
challenge VS control	ZDHHC20	-0.09	0.541234972	7.54E-01	61.65	NO	No_Regulation
challenge VS control	PPA1	0.04	0.767505991	8.90E-01	40.08	NO	No_Regulation
challenge VS control	PSMG4	-0.02	0.93603907	9.72E-01	16.06	NO	No_Regulation
challenge VS control	PDIA3P1	0.51	0.014887708	8.08E-02	11.38	NO	No_Regulation
challenge VS control	GREM2	0.12	0.658708047	8.29E-01	16.08	NO	No_Regulation
challenge VS control	SSR4	0.53	0.003440465	2.90E-02	42.04	NO	No_Regulation
challenge VS control	CAPS2	0.43	0.044376687	1.71E-01	23.01	NO	No_Regulation
challenge VS control	CUEDC1	-0.04	0.88499699	9.49E-01	8.25	NO	No_Regulation
challenge VS control	SCRIB	0.16	0.514266367	7.34E-01	6.34	NO	No_Regulation
challenge VS control	KCTD2	0.19	0.457332055	6.92E-01	5.2	NO	No_Regulation
challenge VS control	D2HGDH	0.42	0.057978641	2.04E-01	12.38	NO	No_Regulation
challenge VS control	CMTR2	0.18	0.372512292	6.20E-01	16.03	NO	No_Regulation
challenge VS control	FAM83H	-0.27	0.257194791	5.05E-01	7.35	NO	No_Regulation
challenge VS control	ST20	0.11	0.623480651	8.10E-01	8.31	NO	No_Regulation
challenge VS control	PITPNB	0.05	0.75834754	8.85E-01	41.3	NO	No_Regulation
challenge VS control	TCEAL8	0.36	0.13715304	3.51E-01	5.94	NO	No_Regulation
challenge VS control	LRRC57	-0.35	0.142316454	3.60E-01	6.1	NO	No_Regulation
challenge VS control	MRPL14	0.3	0.123689052	3.31E-01	14.12	NO	No_Regulation
challenge VS control	NQO1	-0.04	0.833686649	9.23E-01	30.96	NO	No_Regulation
challenge VS control	TRAPPC5	-0.33	0.175834435	4.06E-01	7.67	NO	No_Regulation
challenge VS control	RPH3AL	-0.56	0.007465012	5.00E-02	16.04	NO	No_Regulation
challenge VS control	SLC25A42	-0.27	0.215836735	4.57E-01	8.42	NO	No_Regulation
challenge VS control	EHMT1	0.17	0.192656778	4.28E-01	73.28	NO	No_Regulation
challenge VS control	F2R	0.06	0.786971347	8.99E-01	7.57	NO	No_Regulation
challenge VS control	NPM1	0.4	0.007545542	5.04E-02	65.84	NO	No_Regulation
challenge VS control	DHTKD1	0.02	0.929865286	9.69E-01	16.82	NO	No_Regulation
challenge VS control	POLR2A	0.21	0.175296561	4.05E-01	25.18	NO	No_Regulation
challenge VS control	TMEM132C	0.21	0.453489355	6.89E-01	4.9	NO	No_Regulation
challenge VS control	FRAT2	-0.03	0.904983005	9.58E-01	8.19	NO	No_Regulation
challenge VS control	ZNF322	0.31	0.20089469	4.38E-01	6.57	NO	No_Regulation
challenge VS control	LRRC75A	-0.24	0.352906171	6.02E-01	128.98	NO	No_Regulation
challenge VS control	DDX60L	-0.45	0.006147143	4.36E-02	44.73	NO	No_Regulation
challenge VS control	C17orf101	0.35	0.169276477	3.98E-01	5.26	NO	No_Regulation
challenge VS control	WASHC1	0.52	0.039287466	1.58E-01	6.22	NO	No_Regulation
challenge VS control	AATK	-0.68	0.001770488	1.76E-02	8.96	NO	No_Regulation
challenge VS control	ZNF678	0.7	6.33E-04	8.12E-03	17.77	NO	No_Regulation
challenge VS control	TMEM45A	0.66	0.014186384	7.82E-02	4.95	NO	No_Regulation
challenge VS control	RAP2B	-0.15	0.545929273	7.58E-01	9.38	NO	No_Regulation
challenge VS control	ZBTB2	0.27	0.269717662	5.18E-01	5.95	NO	No_Regulation
challenge VS control	RNF135	0.05	0.846418746	9.29E-01	7.41	NO	No_Regulation
challenge VS control	ACBD4	-0.67	0.002021702	1.95E-02	11.81	NO	No_Regulation
challenge VS control	FANCB	0.63	0.014022458	7.76E-02	4.75	NO	No_Regulation
challenge VS control	SETD2	0.15	0.18162696	4.12E-01	114.5	NO	No_Regulation
challenge VS control	MRPS23	0.13	0.618742523	8.07E-01	6.46	NO	No_Regulation
challenge VS control	GPR135	-0.23	0.360370647	6.09E-01	6.86	NO	No_Regulation
challenge VS control	TNFSF15	-1.01	4.20E-05	9.69E-04	8.21	YES	Down-Regulated in Sample Group
challenge VS control	HKR1	0.03	0.918057916	9.65E-01	8.2	NO	No_Regulation
challenge VS control	PLAG1	-0.18	0.413546715	6.55E-01	12.53	NO	No_Regulation
challenge VS control	YIPF6	-0.03	0.887159563	9.50E-01	19.98	NO	No_Regulation
challenge VS control	ZBTB20	-0.33	0.001543215	1.61E-02	646.84	NO	No_Regulation
challenge VS control	C3orf58	-0.56	0.006372877	4.46E-02	10.95	NO	No_Regulation
challenge VS control	C5orf30	-0.07	0.798558987	9.06E-01	5.2	NO	No_Regulation
challenge VS control	SIAH2	-0.08	0.746354093	8.79E-01	8.74	NO	No_Regulation
challenge VS control	COPG1	0.03	0.839077566	9.25E-01	30.69	NO	No_Regulation
challenge VS control	SLC9A9	0.54	0.001989731	1.92E-02	47.37	NO	No_Regulation
challenge VS control	RELL1	-0.49	0.004359776	3.45E-02	21.74	NO	No_Regulation
challenge VS control	RFX7	0.34	0.005742663	4.17E-02	119.92	NO	No_Regulation
challenge VS control	SLC35C1	0.22	0.338463387	5.86E-01	7.86	NO	No_Regulation
challenge VS control	RNF41	0.28	0.240192856	4.87E-01	8.52	NO	No_Regulation
challenge VS control	IBA57	0.16	0.51955485	7.38E-01	5.14	NO	No_Regulation
challenge VS control	C5orf24	-0.16	0.294658925	5.45E-01	30.46	NO	No_Regulation
challenge VS control	ADO	-0.31	0.214447874	4.55E-01	4.64	NO	No_Regulation
challenge VS control	CHCHD8	0.45	0.050889342	1.87E-01	9.72	NO	No_Regulation
challenge VS control	PRKAG1	0.05	0.790662747	9.01E-01	18.3	NO	No_Regulation
challenge VS control	CCDC149	0.03	0.911786523	9.61E-01	10.61	NO	No_Regulation
challenge VS control	MRPS11	0.14	0.494358619	7.20E-01	10.55	NO	No_Regulation
challenge VS control	SNRPE	0.56	0.007010171	4.78E-02	12.58	NO	No_Regulation
challenge VS control	RTKN2	0.41	0.102006107	2.94E-01	7.53	NO	No_Regulation
challenge VS control	CHST15	0.79	1.53E-04	2.67E-03	19.16	NO	No_Regulation
challenge VS control	MGAT4C	0.2	0.419225458	6.60E-01	5.04	NO	No_Regulation
challenge VS control	IDH2	0.76	1.47E-05	4.32E-04	51.78	NO	No_Regulation
challenge VS control	TMEM259	0	0.98429015	9.93E-01	15.92	NO	No_Regulation
challenge VS control	WRB	-0.13	0.597103606	7.92E-01	5.79	NO	No_Regulation
challenge VS control	TNRC18	-0.05	0.699802155	8.53E-01	46.87	NO	No_Regulation
challenge VS control	TMEM30B	0.06	0.777717838	8.95E-01	14.94	NO	No_Regulation
challenge VS control	DEXI	0	0.994639256	9.97E-01	7.68	NO	No_Regulation
challenge VS control	NOP10	0.08	0.668000463	8.35E-01	18.35	NO	No_Regulation
challenge VS control	ZNF708	-0.25	0.195711697	4.32E-01	15.22	NO	No_Regulation
challenge VS control	IST1	-0.32	0.012188478	7.00E-02	44.94	NO	No_Regulation
challenge VS control	ERCC6L2	-0.16	0.174455527	4.04E-01	63.66	NO	No_Regulation
challenge VS control	MRPL41	0.3	0.168325202	3.96E-01	17.65	NO	No_Regulation
challenge VS control	ENPP7	-0.84	0.002284346	2.13E-02	14.14	NO	No_Regulation
challenge VS control	CREB3L2	-0.16	0.197811842	4.34E-01	76.7	NO	No_Regulation
challenge VS control	UNC5C	0.08	0.633644409	8.16E-01	76.08	NO	No_Regulation
challenge VS control	TSEN54	0.21	0.383524477	6.30E-01	9.01	NO	No_Regulation
challenge VS control	UBA7	0.2	0.377403281	6.24E-01	9.65	NO	No_Regulation
challenge VS control	MRPS16	0.47	0.020713983	1.02E-01	11.21	NO	No_Regulation
challenge VS control	RAD51B	0.02	0.891055761	9.52E-01	123.47	NO	No_Regulation
challenge VS control	ARL6IP4	0.08	0.640319823	8.19E-01	26.85	NO	No_Regulation
challenge VS control	EXT1	-0.2	0.0173359	8.94E-02	532.58	NO	No_Regulation
challenge VS control	SHMT2	0.72	0.005924138	4.26E-02	6.13	NO	No_Regulation
challenge VS control	MOB2	-0.01	0.980647357	9.92E-01	9.92	NO	No_Regulation
challenge VS control	ATP6AP2	0.11	0.579450793	7.81E-01	17.4	NO	No_Regulation
challenge VS control	BACE2	0.56	0.008164209	5.29E-02	38.21	NO	No_Regulation
